text,created,favoriteCount,retweetCount,arr_dt,bounded,severity,alerts_at_station_code
#RedLine experiencing moderate delays due to a disabled train at Quincy Center. #mbta,2016-03-17T19:34:29Z,0,0,2016-03-17T19:34:29Z,,2,"70101_Quincy Center - Outbound, 70102_Quincy Center - Inbound"
#RedLine experiencing moderate delays due to signal problems between Alewife and Harvard stations. #mbta,2016-03-18T11:37:19Z,2,1,2016-03-18T11:37:19Z,,2,
#RedLine experiencing minor delays due to signal problems between Alewife and Harvard stations. #mbta,2016-03-18T12:03:20Z,0,0,2016-03-18T12:03:20Z,,1,
#RedLine experiencing minor northbound delays due to disabled train #mbta,2016-03-18T13:14:14Z,0,0,2016-03-18T13:14:14Z,northbound,0,
#RedLine experiencing minor southbound delays due to a medical emergency at Charles/MGH #mbta,2016-03-18T17:30:21Z,0,0,2016-03-18T17:30:21Z,southbound,0,"70073_Charles/MGH - Inbound, 70074_Charles/MGH - Outbound"
Mattapan Trolley experiencing moderate delays due to a disabled train at Milton #mbta,2016-03-18T19:43:29Z,0,0,2016-03-18T19:43:29Z,,2,
#RedLine Braintree branch experiencing moderate delays due to a signal problem at Braintree #mbta,2016-03-18T21:16:06Z,0,0,2016-03-18T21:16:06Z,,2,"70075_Park Street - to Ashmont/Braintree, 70077_Downtown Crossing - to Ashmont/Braintree, 70095_JFK/UMASS Braintree - Outbound, 70096_JFK/UMASS Braintree - Inbound"
#RedLine Braintree branch experiencing minor delays due to a signal problem at Braintree #mbta,2016-03-18T22:22:59Z,0,0,2016-03-18T22:22:59Z,,1,"70075_Park Street - to Ashmont/Braintree, 70077_Downtown Crossing - to Ashmont/Braintree, 70095_JFK/UMASS Braintree - Outbound, 70096_JFK/UMASS Braintree - Inbound"
This weekend's scheduled Mattapan Trolley diversion between Ashmont and Mattapan has ended. Regular Mattapan Trolley service is resuming,2016-03-20T20:31:07Z,0,0,2016-03-20T20:31:07Z,,0,
Mattapan Trolley experiencing minor delays due to police action #mbta,2016-03-22T01:15:07Z,0,0,2016-03-22T01:15:07Z,,1,
#RedLine experiencing moderate delays due to disabled train #mbta,2016-03-23T04:26:05Z,0,0,2016-03-23T04:26:05Z,,2,
#RedLine experiencing moderate delays due to disabled train departing Central northbound #mbta,2016-03-23T04:28:13Z,0,0,2016-03-23T04:28:13Z,northbound,2,
#RedLine experiencing severe delays due to disabled train departing Central northbound #mbta,2016-03-23T04:43:44Z,0,0,2016-03-23T04:43:44Z,northbound,3,
Mattapan Trolley experiencing moderate delays due to a disabled train at Ashmont. #mbta,2016-03-23T20:25:39Z,0,0,2016-03-23T20:25:39Z,,2,"70075_Park Street - to Ashmont/Braintree, 70077_Downtown Crossing - to Ashmont/Braintree, 70085_JFK/UMASS Ashmont - Outbound, 70086_JFK/UMASS Ashmont - Inbound"
#RedLine experiencing minor northbound delays due to a disabled train at Quincy Adams Station. #mbta,2016-03-24T10:20:22Z,0,0,2016-03-24T10:20:22Z,northbound,0,70104_Quincy Adams - Inbound
#RedLine experiencing moderate northbound delays due to a disabled train at Quincy Adams Station. #mbta,2016-03-24T10:24:32Z,0,0,2016-03-24T10:24:32Z,northbound,0,70104_Quincy Adams - Inbound
#RedLine experiencing minor northbound delays due to an earlier disabled train at Quincy Adams Station. #mbta,2016-03-24T10:33:52Z,0,0,2016-03-24T10:33:52Z,northbound,0,70104_Quincy Adams - Inbound
#RedLine experiencing minor southbound delays due to a switch problem at Alewife Station. #mbta,2016-03-24T11:28:16Z,1,1,2016-03-24T11:28:16Z,southbound,0,
#RedLine experiencing moderate southbound delays due to a switch problem at Alewife Station. #mbta,2016-03-24T11:32:46Z,0,1,2016-03-24T11:32:46Z,southbound,0,
